,city,origin_city,has_delay,time_of_day,avg_temperature_2m,avg_relative_humidity_2m,total_precipitation,avg_cloud_cover
22,Budapest,Malaga,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
23,Vienna,Zurich,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
24,Paris,Mannheim,0,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
25,London,Milan,1,afternoon,12.069103797276815,75.66666666666667,0.0,92.79166666666667
26,London,Sharm el-Sheikh,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
27,Berlin,Tenerife,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
28,Athens,Teterboro,1,afternoon,13.59660428762436,56.208333333333336,0.0,50.291666666666664
29,Rome,Charlotte,1,afternoon,13.65533318122228,57.666666666666664,0.0,46.208333333333336
30,London,Wildwood,1,afternoon,13.991666714350382,55.416666666666664,0.0,45.958333333333336
31,Budapest,Milan,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
32,Vienna,Gran Canaria,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
33,Paris,Bordeaux,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
34,London,Dublin,1,afternoon,12.069103797276815,75.66666666666667,0.0,92.79166666666667
35,London,Rzeszow,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
36,Berlin,Frankfurt,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
37,Athens,Eagle River,0,afternoon,13.59660428762436,56.208333333333336,0.0,50.291666666666664
38,London,Boston,0,afternoon,13.991666714350382,55.416666666666664,0.0,45.958333333333336
39,Budapest,Bari,0,night,9.587249795595804,55.583333333333336,0.0,75.375
40,Vienna,Paris,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
41,Paris,Rochefort,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
42,London,Prague,1,afternoon,12.069103797276815,75.66666666666667,0.0,92.79166666666667
43,London,Prague,1,night,11.846853931744894,76.04166666666667,0.0,88.95833333333333
44,Berlin,Tenerife,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
45,Athens,Gary,0,afternoon,13.59660428762436,56.208333333333336,0.0,50.291666666666664
46,London,Cancun,1,afternoon,13.991666714350382,55.416666666666664,0.0,45.958333333333336
47,Budapest,Malta,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
48,Vienna,Milan,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
49,Paris,Dublin,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
50,London,Budapest,0,afternoon,12.069103797276815,75.66666666666667,0.0,92.79166666666667
51,London,Istanbul,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
52,Berlin,Amsterdam,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
53,Athens,Stuart,0,afternoon,13.59660428762436,56.208333333333336,0.0,50.291666666666664
54,London,Cancun,0,afternoon,13.991666714350382,55.416666666666664,0.0,45.958333333333336
55,Budapest,London,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
56,Vienna,London,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
57,Paris,Emden,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
58,London,Nottingham,1,afternoon,12.069103797276815,75.66666666666667,0.0,92.79166666666667
59,London,Pristina,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
60,Berlin,Brussels,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
61,Athens,Southern Pines,1,afternoon,13.59660428762436,56.208333333333336,0.0,50.291666666666664
62,London,Toronto,0,evening,13.991666714350382,55.416666666666664,0.0,45.958333333333336
63,Budapest,Munich,1,night,9.587249795595804,55.583333333333336,0.0,75.375
64,Vienna,Basel,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
65,Paris,Poitiers,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
66,London,Faro,0,afternoon,12.069103797276815,75.66666666666667,0.0,92.79166666666667
67,London,Dublin,1,night,11.846853931744894,76.04166666666667,0.0,88.95833333333333
68,Berlin,Zurich,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
69,Athens,Columbus,1,afternoon,13.59660428762436,56.208333333333336,0.0,50.291666666666664
70,London,Teterboro,1,afternoon,13.991666714350382,55.416666666666664,0.0,45.958333333333336
71,Budapest,London,0,evening,9.587249795595804,55.583333333333336,0.0,75.375
72,Vienna,Istanbul,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
73,Paris,Bucharest,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
74,London,Hurghada,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
75,Berlin,London,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
76,Budapest,London,0,evening,9.587249795595804,55.583333333333336,0.0,75.375
77,Vienna,Amsterdam,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
78,Paris,Brazzaville,0,morning,13.895458181699118,71.20833333333333,0.0,60.083333333333336
79,London,Giza,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
80,Berlin,Vienna,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
81,Budapest,Barcelona,0,evening,9.587249795595804,55.583333333333336,0.0,75.375
82,Vienna,Copenhagen,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
83,Paris,Clermont-Ferrand,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
84,London,Antalya,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
85,Berlin,Milan,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
86,Budapest,Athens,0,evening,9.587249795595804,55.583333333333336,0.0,75.375
87,Vienna,Cologne,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
88,Paris,Clermont-Ferrand,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
89,London,Marrakesh,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
90,Berlin,Basel,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
91,Budapest,Amsterdam,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
92,Vienna,Hannover,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
93,Paris,Northolt,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
94,London,Lisbon,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
95,Berlin,Fuerteventura,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
96,Budapest,Frankfurt,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
97,Vienna,Hamburg,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
98,Paris,Nice,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
99,London,Alicante,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
100,Berlin,Dubai,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
101,Budapest,Brussels,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
102,Vienna,Brussels,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
103,Paris,Annemasse,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
104,London,Milan,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
105,Berlin,Amsterdam,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
106,Budapest,Lanzarote,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
107,Vienna,Geneva,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
108,Paris,Guernsey,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
109,London,Glasgow,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
110,Berlin,Valencia,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
111,Budapest,Berlin,0,evening,9.587249795595804,55.583333333333336,0.0,75.375
112,Vienna,Dusseldorf,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
113,Paris,Edinburgh,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
114,London,Belfast,0,night,11.846853931744894,76.04166666666667,0.0,88.95833333333333
115,Berlin,London,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
116,Budapest,Vienna,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
117,Vienna,London,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
118,Paris,Maastricht,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
119,London,Geneva,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
120,Berlin,Munich,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
121,Budapest,Lisbon,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
122,Vienna,Frankfurt,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
123,Paris,Zagreb,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
124,London,Paris,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
125,Berlin,Istanbul,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
126,Budapest,Paris,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
127,Vienna,Bologna,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
128,Paris,Oslo,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
129,London,Zurich,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
130,Berlin,Manchester,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
131,Budapest,Warsaw,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
132,Vienna,Zurich,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
133,Paris,Gothenburg,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
134,London,Jersey,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
135,Berlin,Tenerife,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
136,Budapest,Dubai,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
137,Vienna,Berlin,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
138,Paris,Bordeaux,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
139,London,Belfast,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
140,Berlin,London,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
141,Budapest,Rome,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
142,Vienna,Verona,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
143,Paris,London,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
144,London,Geneva,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
145,Berlin,Rome,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
146,Budapest,Basel,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
147,Vienna,Brussels,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
148,Paris,Lisbon,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
149,London,Amsterdam,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
150,Berlin,Amsterdam,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
151,Budapest,Cluj-Napoca,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
152,Vienna,Warsaw,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
153,Paris,Hamburg,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
154,London,Geneva,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
155,Berlin,Cologne,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
156,Budapest,Munich,1,evening,9.587249795595804,55.583333333333336,0.0,75.375
157,Vienna,Zurich,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
158,Paris,Venice,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
159,London,Katowice,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
160,Berlin,Stuttgart,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
161,Budapest,London,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
162,Vienna,Stuttgart,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
163,Paris,Beirut,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
164,London,Lyon,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
165,Berlin,Erfurt,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
166,Budapest,Brussels,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
167,Vienna,Leipzig,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
168,Paris,Munich,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
169,London,Debrecen,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
170,Berlin,Frankfurt,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
171,Budapest,Madrid,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
172,Vienna,Venice,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
173,Paris,Seville,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
174,London,Reykjavik,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
175,Berlin,London,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
176,Budapest,Tel Aviv,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
177,Vienna,Brussels,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
178,Paris,Newcastle,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
179,London,Gdansk,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
180,Berlin,Malaga,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
181,Budapest,Dusseldorf,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
182,Vienna,Munich,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
183,Paris,Milan,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
184,London,Edinburgh,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
185,Berlin,Barcelona,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
186,Budapest,Istanbul,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
187,Vienna,Barcelona,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
188,Paris,Geneva,1,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
189,London,Iasi,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
190,Berlin,Basel,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
191,Budapest,Eindhoven,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
192,Vienna,Hurghada,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
193,Paris,Dublin,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
194,London,Wroclaw,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
195,Berlin,Budapest,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
196,Budapest,Stuttgart,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
197,Vienna,Belgrade,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
198,Paris,Athens,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
199,London,Barcelona,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
200,Berlin,Vienna,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
201,Budapest,Zurich,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
202,Vienna,Luxembourg,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
203,Paris,Brussels,0,evening,13.895458181699118,71.20833333333333,0.0,60.083333333333336
204,London,Belfast,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
205,Berlin,Luxembourg,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
206,Budapest,London,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
207,Vienna,Paris,1,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
208,Paris,Dubai,0,morning,13.895458181699118,71.20833333333333,0.0,60.083333333333336
209,London,Sofia,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
210,Berlin,Paris,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
211,Budapest,Geneva,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
212,Vienna,Innsbruck,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
213,Paris,Nice,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
214,London,Glasgow,0,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
215,Berlin,Brussels,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
216,Budapest,Almaty,1,morning,9.587249795595804,55.583333333333336,0.0,75.375
217,Vienna,Larnaca,1,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
218,Paris,Vienna,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
219,London,Craiova,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
220,Berlin,Tel Aviv,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
221,Budapest,Helsinki,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
222,Vienna,Bucharest,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
223,Paris,Prague,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
224,London,Rome,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
225,Berlin,Munich,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
226,Budapest,Tenerife,0,morning,9.587249795595804,55.583333333333336,0.0,75.375
227,Vienna,Dusseldorf,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
228,Paris,Toulouse,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
229,London,Sibiu,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
230,Berlin,Palma de Mallorca,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
231,Budapest,Copenhagen,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
232,Vienna,Cologne,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
233,Paris,Marseille,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
234,London,Nice,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
235,Berlin,Frankfurt,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
236,Budapest,Bucharest,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
237,Vienna,Bangkok,0,morning,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
238,Paris,Tel Aviv,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
239,London,Sion,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
240,Berlin,Zurich,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
241,Budapest,Naples,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
242,Vienna,Brussels,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
243,Paris,Port Louis,0,morning,13.895458181699118,71.20833333333333,0.0,60.083333333333336
244,London,Cluj-Napoca,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
245,Berlin,Stuttgart,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
246,Budapest,Nice,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
247,Vienna,Frankfurt,0,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
248,Paris,Muscat,0,morning,13.895458181699118,71.20833333333333,0.0,60.083333333333336
249,London,Amsterdam,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
250,Berlin,Paris,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
251,Budapest,Frankfurt,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
252,Vienna,Ashgabat,1,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
253,Paris,Copenhagen,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
254,London,Budapest,0,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
255,Berlin,Oslo,1,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
256,Budapest,Ningbo,1,morning,9.587249795595804,55.583333333333336,0.0,75.375
257,Vienna,Cairo,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
258,Paris,Munich,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
259,London,Warsaw,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
260,Berlin,Venice,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
261,Budapest,Seoul,1,night,9.587249795595804,55.583333333333336,0.0,75.375
262,Vienna,Sofia,1,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
263,Paris,Amsterdam,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
264,London,Bucharest,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
265,Berlin,Bologna,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
266,Budapest,Rome,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
267,Vienna,Amsterdam,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
268,Paris,Algiers,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
269,London,Lanzarote,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
270,Berlin,Lyon,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
271,Budapest,Gran Canaria,0,morning,9.587249795595804,55.583333333333336,0.0,75.375
272,Vienna,Copenhagen,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
273,Paris,Saint-Denis,0,morning,13.895458181699118,71.20833333333333,0.0,60.083333333333336
274,London,Kaunas,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
275,Berlin,Naples,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
276,Budapest,Barcelona,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
277,Vienna,Geneva,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
278,Paris,Tunis,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
279,London,Sion,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
280,Berlin,Paris,1,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
281,Budapest,Milan,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
282,Vienna,Oberpfaffenhofen,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
283,Paris,Hamburg,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
284,London,Zurich,1,evening,11.846853931744894,76.04166666666667,0.0,88.95833333333333
285,Berlin,Saarbrucken,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
286,Budapest,London,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
287,Vienna,Kaunas,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
288,Paris,Dusseldorf,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
289,London,Geneva,0,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
290,Berlin,Dusseldorf,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
291,Budapest,Warsaw,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
292,Vienna,Graz,1,evening,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
293,Paris,Frankfurt,0,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
294,London,Varna,0,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
295,Berlin,Munich,0,evening,10.429521063963572,80.0,4.600000001490116,96.54166666666667
296,Budapest,Seville,0,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
297,Vienna,Amman,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
298,Paris,Warsaw,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
299,London,Amsterdam,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
300,Berlin,Ibiza,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
301,Budapest,Brussels,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
302,Vienna,Milan,1,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
303,Paris,Stockholm,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
304,London,Poznan,1,afternoon,11.846853931744894,76.04166666666667,0.0,88.95833333333333
305,Berlin,Madrid,0,afternoon,10.429521063963572,80.0,4.600000001490116,96.54166666666667
306,Budapest,London,1,afternoon,9.587249795595804,55.583333333333336,0.0,75.375
307,Vienna,Dusseldorf,0,afternoon,9.837875028451284,75.83333333333333,0.20000000298023224,87.5
308,Paris,Birmingham,1,afternoon,13.895458181699118,71.20833333333333,0.0,60.083333333333336
